V.32 Trellis Encoder Map File
4	5	8
State	Input	New state	I	Q
0	0	0		-4	1
0	1	0		0	-3
0	2	0		0	1
0	3	0		4	1
0	4	5		4	-1
0	5	5		0	3
0	6	5		0	-1
0	7	5		-4	-1
0	8	4		-2	3
0	9	4		-2	-1
0	10	4		2	3
0	11	4		2	-1
0	12	1		2	-3
0	13	1		2	1
0	14	1		-2	-3
0	15	1		-2	1
1	0	2		-3	-2
1	1	2		1	-2
1	2	2		-3	2
1	3	2		1	2
1	4	3		3	2
1	5	3		-1	2
1	6	3		3	-2
1	7	3		-1	-2
1	8	7		1	4
1	9	7		-3	0
1	10	7		1	0
1	11	7		1	-4
1	12	6		-1	-4
1	13	6		3	0
1	14	6		-1	0
1	15	6		-1	4
2	0	4		-4	1
2	1	4		0	-3
2	2	4		0	1
2	3	4		4	1
2	4	1		4	-1
2	5	1		0	3
2	6	1		0	-1
2	7	1		-4	-1
2	8	0		-2	3
2	9	0		-2	-1
2	10	0		2	3
2	11	0		2	-1
2	12	5		2	-3
2	13	5		2	1
2	14	5		-2	-3
2	15	5		-2	1
3	0	6		-3	-2
3	1	6		1	-2
3	2	6		-3	2
3	3	6		1	2
3	4	7		3	2
3	5	7		-1	2
3	6	7		3	-2
3	7	7		-1	-2
3	8	3		1	4
3	9	3		-3	0
3	10	3		1	0
3	11	3		1	-4
3	12	2		-1	-4
3	13	2		3	0
3	14	2		-1	0
3	15	2		-1	4
4	0	1		-4	1
4	1	1		0	-3
4	2	1		0	1
4	3	1		4	1
4	4	4		4	-1
4	5	4		0	3
4	6	4		0	-1
4	7	4		-4	-1
4	8	5		-2	3
4	9	5		-2	-1
4	10	5		2	3
4	11	5		2	-1
4	12	0		2	-3
4	13	0		2	1
4	14	0		-2	-3
4	15	0		-2	1
5	0	7		-3	-2
5	1	7		1	-2
5	2	7		-3	2
5	3	7		1	2
5	4	6		3	2
5	5	6		-1	2
5	6	6		3	-2
5	7	6		-1	-2
5	8	2		1	4
5	9	2		-3	0
5	10	2		1	0
5	11	2		1	-4
5	12	3		-1	-4
5	13	3		3	0
5	14	3		-1	0
5	15	3		-1	4
6	0	5		-4	1
6	1	5		0	-3
6	2	5		0	1
6	3	5		4	1
6	4	0		4	-1
6	5	0		0	3
6	6	0		0	-1
6	7	0		-4	-1
6	8	1		-2	3
6	9	1		-2	-1
6	10	1		2	3
6	11	1		2	-1
6	12	4		2	-3
6	13	4		2	1
6	14	4		-2	-3
6	15	4		-2	1
7	0	3		-3	-2
7	1	3		1	-2
7	2	3		-3	2
7	3	3		1	2
7	4	2		3	2
7	5	2		-1	2
7	6	2		3	-2
7	7	2		-1	-2
7	8	6		1	4
7	9	6		-3	0
7	10	6		1	0
7	11	6		1	-4
7	12	7		-1	-4
7	13	7		3	0
7	14	7		-1	0
7	15	7		-1	4
